signup_country_code,marketing_channel_id,signup_platform,gender,is_paid_channel,subscription_date,net_revenue,subscription_count
AU,1,ios,male,false,2016-11-20,41.993,4
CA,3,ios,female,true,2016-11-24,20.993,3
US,2,ios,female,true,2016-11-27,749.3380000000002,47
PE,,android,male,false,2016-11-29,0,1
US,,ios,male,false,2016-12-03,203.42200000000005,17
US,4,ios,male,true,2016-12-05,413.38,37
AE,1,android,female,false,2016-12-08,41.92742067451885,1
US,1,ios,male,false,2016-12-10,209.96500000000003,28
FR,1,ios,female,false,2016-12-13,62.986,9
CH,18,ios,female,true,2016-12-29,0,1
NZ,2,android,female,true,2016-12-30,0,1
US,2,ios,male,true,2016-12-31,104.979,12
US,2,ios,male,true,2017-01-01,1341.5790000000004,117
US,1,ios,female,false,2017-01-04,1411.122,101
CL,2,ios,female,true,2017-01-04,437.5100000000001,45
US,4,ios,female,true,2017-01-07,356.93000000000006,43
PR,2,ios,male,true,2017-01-17,41.993,2
BH,1,ios,female,false,2017-01-19,41.993,1
MX,2,ios,female,true,2017-01-19,83.986,14
DE,2,ios,female,true,2017-01-23,20.993,7
MX,6,ios,male,true,2017-01-30,41.993,4
GB,18,android,female,true,2017-01-01,171.11348480536378,15
FR,1,ios,female,false,2016-10-09,125.972,31
AR,,ios,female,false,2016-10-10,41.993,1
MX,1,android,female,false,2016-10-23,42,2
US,2,ios,female,true,2016-10-27,55.986,6
AR,2,ios,female,true,2016-11-22,83.986,5
AU,1,ios,female,false,2016-11-22,41.993,6
PE,,android,female,false,2016-11-27,0,1
PA,2,ios,male,true,2016-11-28,0,1
CH,1,ios,female,false,2016-11-29,0,3
MX,6,ios,male,true,2017-01-31,125.979,4
CA,18,android,female,true,2016-12-08,0,2
US,2,android,male,true,2016-12-14,168,26
US,1,ios,female,false,2016-12-18,377.93,34
US,4,ios,male,true,2016-12-26,293.95799999999997,33
US,2,ios,male,true,2017-01-02,1138.1570000000004,106
DO,2,ios,male,true,2017-01-02,41.993,5
US,2,android,female,true,2017-01-20,147,13
AU,1,ios,female,false,2017-01-05,83.986,11
US,2,android,male,true,2017-01-08,1397.033,87
MX,2,android,female,true,2017-01-11,160.1350899491301,19
CH,6,ios,male,true,2017-01-12,41.993,3
ZA,1,ios,female,false,2017-01-15,20.993,4
US,3,ios,female,true,2017-01-16,272.951,33
CA,2,ios,female,true,2017-01-16,209.951,27
DE,,ios,male,false,2017-01-18,41.993,2
GB,2,ios,female,true,2017-01-21,62.986,6
PE,,ios,female,false,2017-01-21,119.443,4
US,18,android,female,true,2017-01-22,147,24
JP,1,ios,female,false,2017-01-24,41.993,1
ES,1,ios,female,false,2017-01-24,272.944,23
CA,2,ios,male,true,2017-01-30,121.596,13
SA,2,ios,male,true,2017-01-01,20.993,1
US,18,android,male,true,2016-10-02,289.02,24
US,2,ios,female,true,2016-10-03,41.986,11
US,2,android,male,true,2016-10-04,205.01,20
GB,1,ios,female,false,2016-10-05,83.979,8
BR,11,android,male,false,2016-10-08,0,1
FR,18,ios,male,true,2016-10-21,0,1
US,1,android,female,false,2016-10-22,254.60017026506796,16
CA,18,ios,female,true,2016-10-25,0,1
US,1,ios,male,false,2016-11-17,272.94399999999996,35
US,,ios,male,false,2016-11-23,216.958,19
US,1,ios,female,false,2016-11-24,174.972,18
SA,1,ios,female,false,2016-12-12,20.993,1
US,1,android,male,false,2016-11-30,247.02,13
US,2,android,female,true,2016-12-07,100.02,18
BB,2,ios,female,true,2016-12-18,0,1
US,2,android,female,true,2016-12-20,61.129999999999995,14
US,6,ios,female,true,2017-01-02,188.972,10
CH,2,ios,male,true,2017-01-03,230.972,19
US,2,android,female,true,2017-01-03,860.38,78
ES,2,android,male,true,2017-01-07,117.57198048543182,36
CA,2,ios,male,true,2017-01-09,125.972,10
CR,1,ios,male,false,2017-01-10,20.993,3
DE,,ios,female,false,2017-01-15,146.97899999999998,6
FR,1,android,female,false,2017-01-19,85.13122175070936,5
US,1,ios,female,false,2017-01-21,952.76,68
AU,6,android,female,true,2017-01-22,0,2
GB,2,ios,male,true,2017-01-24,167.965,11
US,4,ios,female,true,2017-01-24,230.96499999999995,30
NZ,1,ios,male,false,2017-01-29,0,2
CA,2,ios,male,true,2016-12-04,0,10
MV,1,android,female,false,2016-11-03,42,1
US,2,android,female,true,2016-10-02,357,23
US,18,android,male,true,2016-10-04,210,22
US,2,ios,female,true,2016-10-11,62.986,8
RU,,ios,male,false,2016-10-24,0,1
JM,2,android,female,true,2016-10-29,0,4
BE,1,ios,female,false,2016-10-31,0,1
US,1,ios,male,false,2016-10-31,377.923,30
US,,ios,female,false,2016-11-06,545.895,28
FR,2,ios,female,true,2016-11-08,83.986,7
US,,ios,female,false,2016-12-14,125.986,12
US,6,ios,female,true,2016-12-26,251.951,10
AR,1,ios,female,false,2017-01-01,0,4
NI,2,android,female,true,2017-01-01,0,1
GB,1,ios,female,false,2017-01-02,398.9369999999999,23
SG,,ios,female,false,2017-01-05,0,1
US,1,ios,female,false,2017-01-06,564.719,49
FR,1,ios,male,false,2017-01-08,146.979,18
CA,2,ios,male,true,2017-01-11,146.972,20
US,2,android,female,true,2017-01-12,436.36552989492594,29
IS,2,ios,female,true,2017-01-14,0,3
AU,18,ios,female,true,2017-01-14,41.993,2
PR,2,ios,female,true,2017-01-16,83.986,3
US,18,android,female,true,2017-01-20,336,11
US,9,android,male,true,2017-01-22,42,4
GB,2,android,male,true,2017-01-22,94.07528316437282,5
MX,6,ios,male,true,2017-01-25,104.979,4
US,18,android,female,true,2017-01-25,184.02,10
GB,1,ios,female,false,2016-10-29,41.993,6
US,4,ios,female,true,2016-10-29,125.972,15
US,2,android,female,true,2016-11-11,81.43674000669607,8
PE,2,ios,female,true,2016-11-23,0,4
US,18,ios,female,true,2016-11-29,0,2
CA,18,android,male,true,2016-11-30,0,1
JM,1,android,male,false,2016-12-06,0,1
ES,1,ios,male,false,2016-12-11,0,3
AR,2,ios,female,true,2016-12-15,41.993,2
US,18,ios,female,true,2016-12-26,209.965,14
GB,2,ios,male,true,2017-01-02,83.986,17
ES,18,android,female,true,2017-01-10,0,2
PA,1,ios,female,false,2017-01-11,0,1
AR,18,ios,female,true,2017-01-17,0,1
CA,,ios,female,false,2017-01-22,41.993,12
US,2,android,male,true,2016-10-15,268.02,16
SR,2,ios,female,true,2016-10-18,0,1
AU,,ios,female,false,2016-10-25,0,1
CH,1,ios,male,false,2016-10-30,41.993,2
CL,1,ios,male,false,2016-10-20,41.993,2
CH,1,ios,male,false,2016-11-30,83.986,5
CH,1,ios,female,false,2016-12-08,0,2
RE,2,ios,male,true,2017-01-03,41.993,3
CH,1,ios,male,false,2017-01-10,230.965,9
CH,2,ios,male,true,2017-01-12,545.916,23
EC,2,ios,female,true,2017-01-16,119.443,4
CA,18,android,female,true,2016-10-01,38.329598496630446,2
AU,1,android,male,false,2016-10-09,102.10703590381266,4
US,2,android,male,true,2016-10-12,84,13
CH,,android,male,false,2016-10-28,0,2
EC,2,ios,female,true,2016-10-30,0,1
MX,2,android,female,true,2016-10-31,0,4
US,1,ios,male,false,2016-11-14,497.38699999999994,31
